title,date,url,text,source
Poll: More Than 7 in 10 Americans Refuse to Use Contact Tracing Apps,2020/06/16,https://www.breitbart.com/tech/2020/06/16/poll-more-than-7-in-10-americans-refuse-to-use-contact-tracing-apps/,"According to a recent report, more than seven in ten Americans refuse to use coronavirus contact tracing apps developed by tech giants like Apple and Google.

Ars Technica reports that according to data gathered from an online survey of over 2,000 people in the United States conducted by polling firm Opinion Matters on behalf of the security firm Avira, 71 percent of Americans state that they will not be downloading a coronavirus contact tracing app, including those based on joint tech developed by Apple and Google.


According to the data, fewer than 3 in 10 Americans intend to use contact tracing apps developed to track the spread of the Wuhan coronavirus. In April, It was reported that one in two Americans would probably or definitely not use a contact tracing app, showing a growing distrust for the tracking tools.

Most of those that refused to use a contact tracing app were over the age of 55. Those who responded that they would not be using an app were asked to explain the decision with a multiple-choice poll. The most common reason people were hesitant to use a contact tracing app was privacy.

44 percent of those who said “no” to a contact-tracing app said that they would not trust the tech to protect their digital privacy. 39 percent believe that the apps created a false sense of security, while 37 percent believe the apps would not work to slow the spread of the virus. 35 percent also indicated a distrust of app makers.

Just two months ago, 57 percent of people surveyed said that they’d trust public health agencies, 47 percent said they would trust insurance companies, and 43 percent said they’d trust Silicon Valley tech firms. Now, only 32 percent say they’d trust Google or Apple, and only 14 percent stated that they’d trust the government to keep their data private.

Read more at Ars Technica here.",Breitbart
States Back Out of Google and Apple’s Contact Tracing App Plans,2020/06/15,https://www.breitbart.com/tech/2020/06/15/states-back-out-of-google-and-apples-contact-tracing-app-plans/,"Multiple States across the country are reportedly walking back promises to use contact tracing systems developed by Silicon Valley tech firms such as Google and Apple.

NBC News reports that this week New Jersey Governor Phil Murphy outlined his plans to trace the spread of the coronavirus by hiring 1,600 contact tracers to call people who may have been exposed to the coronavirus. Murphy did not plan to use any form of smartphone app to help with contact tracing, stating when asked: “The state of New Jersey is neither pursuing nor promoting exposure notification or digital alerting technology, at least at this time.”


 

Multiple states that had committed to using contract tracing apps or expressed interest in them are now rolling back their statements. California Governor Gavin Newsom (D) initially vocally supported the use of contact tracing apps, stating that he wanted to “build that capacity and partnership” with Apple and Google after they announced their contact tracing system. Two months later, no contact tracing apps or cellphone tracking technology are being used in California according to a spokesperson for California’s Public Health Department.

The spokesperson told NBC News: “Most of the contact tracing work (notifying people who have been in close contact with an infected person to prevent the disease from spreading to others) can be done by phone, text, email and chat.”

A recent survey by Business Insider this week should that only three states, Alabaman, North Dakota, and South Carolina, are going to use Apple and Google’s tracing system. So far, none have launched an app with the Google and Apple system. Andy Slavitt, an Obama administration health care official who is chair of the nonprofit United States of Care, commented: “The factual analytical assessment is it’s not a high upside. The bulk of the investment you need to make is in manpower.”

Read more about the lack of interest in contact tracing apps at NBC News here.",Breitbart
Schools Worried About Coronavirus Are Turning into Surveillance States,2020/06/08,https://www.breitbart.com/tech/2020/06/08/schools-worried-about-coronavirus-are-turning-into-surveillance-states/,"As students across the United States begin to return to school, some schools are requiring students to wear tracking beacons to prevent the spread of the Chinese virus.

Wired reports that as students across the United States begin to return to school following months of lockdown to the Wuhan coronavirus pandemic, many schools are taking measures to prevent the spread of the virus including implementing tracking beacons that students must wear to ensure they are not gathering in large groups.


Wired reports that the school district of New Albany, Ohio, with five schools and 4,800 students plans to test a system requiring each student to wear an electronic tracking beacon that will record their location accurately to within a few feet throughout the day. It will record where students sit in each classroom, show who they interact with, and reveal how they gather in groups. The aim of this technology is to prevent or minimize another coronavirus outbreak.

Many schools are planning to reopen on a gradual basis while keeping students as spread out as possible. The Centers for Disease Control and Prevention’s guidelines for reopening schools recommend staggered daily schedules that allow for smaller class sizes, open windows to provide air circulation, avoiding sharing books and computers, regular cleaning of all buses and classrooms, and the requirement of masks and handwashing.

Michael Sawyers, superintendent for New Albany-Plain Schools commented: “We are very much interested in the automated tracking of students.” Sawyers believes that tracking technology could help the school to determine whether social distancing is being observed correctly and identify students who may have tested positive for the virus.

Industry experts have noticed that a small but growing surveillance industry has appeared following the coronavirus pandemic with many firms pitching temperature-tracking infrared cameras, wireless beacons, and contact tracing apps to enforce social distancing. Albert Fox Cahn, founder of the Surveillance Technology Oversight Project, commented: “It’s been one of the most disturbing parts of this.”

Cahn believes that the industry is keen to find a way into classrooms. “One of the things that will be a huge profit driver, potentially, is that younger children would need specially designed devices if they don’t have smartphones,” he said.
Read more about the issue at Wired here.",Breitbart
Minnesota Using ‘Contact Tracing’ to Determine if Agitators ‘Organized Cell of Terror’,2020/05/30,https://www.breitbart.com/politics/2020/05/30/minnesota-using-contact-tracing-to-determine-if-agitators-organized-cell-of-terror/,"Minnesota Department of Public Safety Commissioner John Harrington told reporters on Saturday that his agency is using “contact tracing” to identify the associations of rioters arrested in the state on Friday.




“We have begun analyzing the data of who we’ve arrested, and begun actually doing what you would think as, almost very similar to our COVID. It’s contact tracing,” Harrington said.

“Who are they associated with? What platforms are they advocating for? And we’ve seen things like white supremacist organizers who have posted things on platforms about coming to Minnesota,” he said.


 
“We’re checking to see if people that we have made arrests on and that we have information, are they connected to those platforms. We’ve seen flyers about protests where folks have talked about they’re ‘going to get their loot on tonight,'” Harrington said.

He said Minnesota authorities are looking into whether the individuals are “part of an organized criminal organization, and if so, what is that organization and how are they organized,” he said.

Harrington said all levels of government are analyzing whether it is “organized crime.”

“Is this an organized cell of terror?” he said.

Gov. Tim Walz said they were talking about it to get “the media” to do additional investigations on the individuals and their connections to organizations.",Breitbart
Exclusive – Canceled Contact Tracing Contract Reveals Michigan Authorized Democrat Firm for 400 Activists to Collect Medical Information,2020/05/27,https://www.breitbart.com/politics/2020/05/27/exclusive-canceled-contact-tracing-contract-reveals-michigan-authorized-democrat-firm-for-400-activists-to-collect-medical-information/,"A copy of the since-canceled contact tracing contract Michigan Democrat Gov. Gretchen Whitmer’s administration executed with a Democrat operative’s consulting firm, obtained exclusively by Breitbart News, shows the firm would have been paid to recruit 400 volunteers to collect medical information from state residents.

The contract was signed April 20, 2020, between the Michigan Public Health Institute and Great Lakes Community Engagement, a nonprofit organization under the control of Mike Kolehouse, a Democrat campaign consultant.


 

Great Lakes Community Engagement – Subcontract by Breitbart News on Scribd



Emails released on Tuesday show Whitmer’s team gave the “green light” to hire the firm, according to Bridge Magazine.

“We got the green light from EOG [the executive office of the governor] to move forward with a slightly different organizational arrangement of the contact tracing volunteer work,” Andrea Taverna, a senior adviser at the Department of Health and Human Services, said in an email to other health department officials.


 
“This would still be working with Mike Kolehouse, so work there isn’t lost — it’s just organized somewhat differently,” she wrote.

Despite those statements, Whitmer’s office has sought to distance her from the arrangement.

“When it was brought to my attention, I told them to cancel it,” Whitmer said during an April 22 press conference.

She also defended the department, saying it “does not have a political bone in their theoretical body.”

But no one has explained how Kolehouse, who has a long history of working exclusively for Democrat campaigns and progressive causes, came onto the scene to begin with.

Janice Kidd, finance and budget manager at the Michigan Public Health Institute, signed the agreement.


Kidd has not responded to Breitbart News about who authorized her to sign the document.

The contract laid out personnel and a payment schedule.

“The staff overseeing these programs will consist of the Owner/Operator, Director of Operations, and a 16-person management team. The management team includes two Project Managers and 14 Volunteer Managers who will each oversee approximately 400 volunteers,” it read.

Initial Payment: The first 4 weeks of services of $64,500, plus the cost of an estimated 50 shifts ($17,500), for a total invoice amount of $82,000. Once invoiced, the first payment will be due on May 1st.

Final Payment: The last 4 weeks of service will be based on shifts used in the previous month, subcontractor will adjust the bill accordingly. The invoice will include $86,000 for 4 weeks of management, plus the cost of an estimated 75 shifts ($26,250) for a total of $112,250. Once invoiced, the second payment will be due on June 1st.

Total payments from MPHI to the Subcontractor under this Agreement, shall not exceed the sum of ONE HUNDRED NINETY-FOUR THOUSAND TWO HUNDRED AND FIFTY and 00/100 DOLLARS ($194,250.00). MPHI shall make payments to Subcontractor within forty-five (45) days after receipt by the Business Office of an invoice that has been approved by the project coordinator indicating the amount due and the subcontract reference number.

The contract also included a two-and-a-half page exhibit detailing privacy requirements due to the sensitivity of the medical information volunteers would be obtaining.


 
The agreement also included a “Stop Work Order” provision, which was invoked the following day after media scrutiny in a letter to Kolehouse:

The Michigan Department of Health & Human Services (MDHHS) has requested that the Michigan Public Health Institute (MPHI) issue a Stop Work Order to Great Lakes Community Engagement for work on project N-80007. Consequently, per Section 19 of your agreement, this letter serves as your Stop Work Order notification. All work must stop immediately on this project, effective April 21, 2020.

Stop Work Order 4.21.2020 by Breitbart News on Scribd



Kolehouse has not commented on the matter.",Breitbart
Apple and Google Release Chinese Virus Contact Tracing Tech,2020/05/21,https://www.breitbart.com/tech/2020/05/21/apple-and-google-release-chinese-virus-contact-tracing-tech/,"Tech giants Apple and Google have reportedly released the technology to automatically notify people if they have been exposed to individuals that have tested positive for the Wuhan coronavirus. The technology was produced by the two tech giants to allow iPhones and Android smartphones to communicate.

AP News reports that tech giants Apple and Google released smartphone technology on Wednesday to notify users that they may have been in contact with individuals who have been exposed to the Wuhan coronavirus. 22 countries and several states in the United States are planning to build voluntary phone apps using their software.


The contact tracing system relies on Bluetooth wireless technology to detect when someone who downloaded the app has spent time near another app user who has tested positive for the virus.

Multiple governments have attempted to roll out their own phone apps since the beginning of the Wuhan coronavirus pandemic. Many of the apps have faced technical issues and have failed to be widely adopted, they also often use GPS track user’s price locations which Apple and Google have banned from their new tools for privacy and security reasons.

Health agencies in Germany as well as in the U.S. states of Alabama and South Carolina have been waiting to use Apple and Google’s new system while other governments claim that the tech giant’s privacy restrictions make the system harder for public health workers to use.

The tech firms claim that app users will be protected by encryption and anonymous identifier beacons that regularly change. The companies said in a joint statement: “User adoption is key to success and we believe that these strong privacy protections are also the best way to encourage use of these apps.”

The statement from the firms also included comments from state officials in North Dakota, Alabama and South Carolina which appear to signal plans to use the new tech. North Dakota Gov. Doug Burgum, a Republican, commented: “We invite other states to join us in leveraging smartphone technologies to strengthen existing contact tracing efforts, which are critical to getting communities and economies back up and running.”

Breitbart News reported in April that privacy experts are warning that this tracing tech could be an invasion of user privacy.  Klon Kitchen, a technology analyst at the Heritage Foundation, told MarketWatch: “All of this could be abused. But information that could be used is already being collected.” But he added, “They have a vested interest in getting the economy up and running, and getting their engineers back in the building, and the government lacks the ability to do this.”

Josephine Wolff, a cybersecurity policy professor at The Fletcher School at Tufts University, commented on the tech stating: “The bigger concern is: What if other entities can access?” But Wolff seems reassured that the firms will keep any identifiable information out o the hands of third parties due to the 15 minute refresh time on the identifier on Apple and Google devices. “You might worry about someone creating a map of where you have been, but with an identifier that changes every 15 minutes it would be so much harder to trace to an individual person,” said Wolff.

Wolff added: “The truth about Google and Apple is they have so much information about us already.” Even New York Gov. Andrew Cuomo, a Democrat who has praised Apple and Google’s efforts, noted that there are privacy concerns relating to the tech. “Apple and other companies are working on using technology to do tracking. How do we do that and how do we do it fast?” Cuomo said before acknowledging the privacy issue stating: “Do you really want that cell phone in your pocket to be a tracking device?”

A survey at the end of April found that three out of five Americans are unwilling or unable to use the smartphone contact tracing technology developed by the Masters of the Universe in Silicon Valley.",Breitbart
Elizabeth Warren Calls for ‘National Contact Tracing’ Program,2020/05/18,https://www.breitbart.com/politics/2020/05/18/elizabeth-warren-calls-for-national-contact-tracing-program/,"Sen. Elizabeth Warren (D-MA) on Monday called for “national contact tracing” program in response to President Trump’s call to reopen the country.

“Once again: You can’t just ‘re-open’ our economy with a tweet,” Warren said, referencing Trump’s tweets to “REOPEN OUR COUNTRY!” and “TRANSITION TO GREATNESS.”


 

“You need to do the work, day in and day out, to make sure that our communities can stay safe,” she continued. “And that means—to start—implementing programs like widespread testing and national contact tracing”:


Elizabeth Warren
✔
@ewarren
Once again: You can’t just “re-open” our economy with a tweet. You need to do the work, day in and day out, to make sure that our communities can stay safe. And that means—to start—implementing programs like widespread testing and national contact tracing.

77.6K
2:23 AM - May 19, 2020
Twitter Ads info and privacy
15.1K people are talking about this
Contract tracing involves monitoring and tracing the contacts of individuals who have been infected by the novel coronavirus — a method many critics view as a slippery slope and an assault on privacy.

The British government has already embraced the concept, introducing a contract tracing app, which stores user data on government servers.

As Breitbart News reported:

The app was developed by NHSX (the digital arm of the country’s socialised medical system) alongside the GCHQ intelligence agency. The app will store user data on centralised government servers rather than taking the decentralised approach advocated by Apple and Google, which are also developing a contact tracing app for other countries. Other nations in Europe including Germany, Switzerland, Estonia, Austria, and the Republic of Ireland have all opted for a decentralised system of contact tracing, in which data is stored locally on a user’s device, not sent to a central or government server.

House Democrats, meanwhile, are promoting the COVID-19 Testing, Reaching, And Contacting Everyone Act (TRACE Act), or  H.R. 6666, which authorizes the Secretary of Health and Human Services to “award grants to eligible entities to conduct diagnostic testing for COVID–19, and related activities such as contact tracing, through mobile health units and, as necessary, at individuals’ residences.”

Per the proposal, the Centers for Disease Control and Prevention (CDC) would issue $100 billion in grants to entities — including federally qualified health centers, school-based health clinics, academic medical centers, and non-profits — to conduct extensive contact tracing, which could lead workers straight to an individual’s doorstep.

“Until we have a vaccine to defeat this dreaded disease, contact tracing in order to understand the full breadth and depth of the spread of this virus is the only way we will be able to get out from under this,” Rep. Bobby L. Rush (D-IL), who introduced the measure, said.

He added:

The COVID-19 TRACE Act will allow us to do this by creating a $100 billion dollar grant program for local organizations to hire, train, and pay individuals and to purchase supplies to run mobile testing units and door-to-door outreach as is safe and necessary, with special preference being given to those operating in hot spots and medically underserved communities, as well as those entities who commit to hiring from these neighborhoods.

“This is nothing but a massive government surveillance program cloaked in a cure-the-coronavirus label,” the Washington Times’ Cheryl K. Chumley said of the proposal.


 
Rush has rejected the strong opposition of critics, claiming that there is “nothing in this bill that will threaten anyone’s individual liberties”:


Bobby L. Rush
✔
@RepBobbyRush
Question: How can we ensure our liberties will be preserved? 

Answer: I have spent my entire life fighting for the liberty of my community & others. There is nothing in this bill that will threaten anyone's individual liberties. Again, this bill is about increasing testing. https://twitter.com/SantitaJ/status/1260178025397858306 …

Santita Jackson
@SantitaJ
TODAY Join @RepBobbyRush on #SantitaJacksonShow @WCPT820 @talk1017fmZ @talk927fm|M-F: 6-8aC/7-9aE|773.763.WCPT/9278|#FacebookLive: Santita Jackson and Friends|.@RevJJackson#TRACEAct HR6666: What Does the #Coronavirus Bill Propose?|http://Heavy.com  https://heavy.com/news/2020/05/hr-6666-trace-bill-bobby-rush/ …

View image on Twitter
125
9:38 PM - May 12, 2020
Twitter Ads info and privacy
161 people are talking about this
H.R. 6666, dubbed the “devil” coronavirus bill, has several well-known progressive co-sponsors, including Reps. Rashida Tlaib (D-MI), Ro Khanna (D-CA), and Debbie Wasserman Schultz (D-FL).

Sen. Bob Menendez (D-NJ) this month also outlined the need for “comprehensive contact tracing.” Without that and widespread testing, “consumers won’t have the confidence needed to jump-start our economy,” he warned during Friday’s Democratic weekly address.",Breitbart
"China: Federalism, Lack of ‘National Tracking’ Mean U.S. Cannot Defeat Coronavirus",2020/05/14,https://www.breitbart.com/national-security/2020/05/14/china-federalism-lack-of-national-tracking-mean-u-s-cannot-defeat-coronavirus/,"Chinese state media on Wednesday asserted that federalism, multi-party democracy, and respect for individual privacy would make it impossible for the United States to defeat the Wuhan coronavirus, since Washington cannot dictate top-down solutions for the entire country or micro-monitor American citizens the way Beijing does.

The Global Times made the usual effort to stir up partisan divisions and blame the U.S. for trying to “pass the buck to China” instead of agreeing to forget where the coronavirus came from before getting to the meat of its argument, which was that Americans are paying a steep price for not being obedient drones governed by an absolute central authority:


 

The epidemic fight must be a people’s war, but the Americans have not been fully mobilized to fight the coronavirus with science. It has taken a long and bumpy road for Americans to wear masks despite being such a simple thing. Only very recently were White House staffers ordered to wear masks. However, Washington’s attempt to politically mobilize the society hasn’t stopped for a moment. It’s working every minute to make supporting forced resumption of work a political correctness. The US government keeps telling its people not to be afraid of the epidemic, to go back to work and smear China.

How can such a US defeat the virus? The number of deaths in the country has exceeded 82,000, and will soon surpass the iconic mark of 100,000. But the US hasn’t formed a unified fight against the epidemic within the country, nor is there a consistent strategy. The last round of social distancing measures only alleviated the epidemic. The US rushed to resume work and production without establishing a strong capability to track the infected.

Constrained by the federal system, the US is weak in coordinating actions nationwide. The deformed party politics has further hindered the formation of a united epidemic fight. The US epidemic response has failed to match its scientific strength and superior public health conditions. It is fighting a chaotic battle, costing a lot while gaining little and ordinary people have become the biggest victims. Unfortunately, the most prevalent thing within the US now is to shirk responsibility and pass the buck to China.

The world’s sole superpower is degenerating. The only way to “Make America Great Again” is to rebuild the spirit of science, which should start with subduing the novel coronavirus with science itself. What will defeat the virus is scientific prevention and control. The virus knows no borders; it will launch fatal attacks against countries with weaker defenses.

China’s “blame the victim” efforts to shame other countries out of complaining about the virus China sent them is not much of a charm offensive, but it does give Chinese Communist Party (CCP) propaganda writers an easy script to stick to. 

As for the worship of holy science as the antidote to political dissent, it demonstrates once again that the CCP is a keen student of American left-wing rhetoric and mainstream media coverage. Of course, it would never occur to a Communist that the reason American medicine is so vastly superior to their own — to the point where they had to steal every technological innovation of the past three decades through massive hacking and intellectual property theft campaigns — is precisely because the spirit of dissent, the urge to challenge consensus and unsettle dogmatic conclusions, nourishes scientific progress. As too many people in the Western world forget, science is about questions and technology is about answers.

Contract tracing to contain the pandemic is not impossible under a federalist system with respect for individual dignity. NPR reported last week that 44 states and the District of Columbia have concrete plans to expand their contract tracing task forces, with over 66,000 workers expected to be on the job when the plans are fully implemented. 


 
Some of those states noted their contact tracing workforces could be considerably larger because county health departments can only estimate their staffing levels and some have medical staffers who work on tracing in addition to their primary duties. Additionally, the Centers for Disease Control (CDC) has deployed 500 staffers to help with state and local tracing programs and is planning to send out another 650. Plans have been discussed to create a massive federal contract tracing agency to supplement and coordinate state efforts.",Breitbart
DC Mayor Extends Stay-at-Home Order to June 8: ‘I Can Revise This Order at Any Time’ ,2020/05/13,https://www.breitbart.com/politics/2020/05/13/dc-mayor-extends-stay-at-home-order-to-june-8-i-can-revise-this-order-at-any-time/,"Washington, DC, Mayor Muriel Bowser, on Wednesday, extended her stay-at-home order aimed at stemming the spread of coronavirus by three weeks to June 8, citing contact tracing capacity issues, and the absence of a 14-day decrease in the community spread, among other reasons.

The mayor told reporters on Wednesday,


Today, we will extend the District’s stay-at-home order through Monday, June 8. I should note that based on the data, I can revise this order at any time to reflect a phased reopening, if the data suggests that we can do that.


Mayor Muriel Bowser
✔
@MayorBowser
(THREAD) Today, I issued Mayor’s Order 2020-066 to extend the District’s public emergency and public health emergency and continue to require individuals to stay home through June 8, 2020.

View image on TwitterView image on TwitterView image on TwitterView image on Twitter
220
4:23 AM - May 14, 2020
Twitter Ads info and privacy
158 people are talking about this

 

Mayor Muriel Bowser
✔
@MayorBowser
Based on the data, I can revise this order at any time to reflect a phased reopening. We will, until such time, extend to June 8, 2020. #StayHomeDC https://twitter.com/MayorBowser/status/1260589952007467011 …

View image on Twitter
Mayor Muriel Bowser
✔
@MayorBowser
LIVE: Briefing on coronavirus (COVID-19) response in the District. For a stream with captions visit http://bit.ly/mmblive . To learn more visit http://coronavirus.dc.gov . https://www.pscp.tv/w/cYq1fzFNV0V3b3JiUlpFYll8MXJteFBBZ0R6b0xLTucbKgKqkluOHXhMc_LI0dXoFLpV3Emsgm2UTaiMuuyP …

396
12:25 AM - May 14, 2020
Twitter Ads info and privacy
509 people are talking about this
The original measure was due to expire on Friday. Bowser also said she prolonged D.C.’s lockdown because the District has not yet seen a transmission rate under one for three days.

Transmission rate refers to how many new infections come from each coronavirus case.

Bowser’s decision to extend the lockdown in D.C. came as the number of daily new coronavirus cases has begun to drop along with community spread and the rate of transmission, the District’s own data show.

Some projections have also predicted that although testing numbers will continue to improve in the next few weeks, the number of estimated infections (including unconfirmed mild and asymptomatic cases) will go down along with daily deaths and the use of hospital beds.

“As of Wednesday, the District is in a four-day decrease in community spread. In addition, the rate of transmission has been below one for two days, according to Bowser,” the Patch noted.

D.C.’s goal is for the transmission rate to be below one for three days. It is also aiming for a 14-day decrease in the community spread.

Referring to contact tracing issues in the capital, the Patch added:

The District’s goal is to be able to contact trace any new case within one day and their close contacts within two days. Currently, D.C. Health can contact trace for its priority populations — essential workers, at-risk healthcare personnel, etc. — and their close contacts, so it still needs to build out its testing capacity in order to handle the surge of new cases.

“This is the piece that will help us ensure that we won’t have widespread community transmissions when we see those new infections,” Bowser proclaimed, referring to contact tracing.


The mayor also acknowledged that the District is already able to test areas essential to a phased reopening, including symptomatic individuals, at-risk healthcare personnel, essential workers, and close contacts of new cases.

Nevertheless, she added:

We still, however, don’t think we’re testing all of the people who need to be tested in those four groups. We continue to reach out to people, making everybody aware of the testing locations and that those tests are free and that we’ll continue to do that.

On Tuesday, Adm. Brett Giroir, the assistant secretary for health at the U.S. Department of Health and Human Services (HHS), told a Senate panel that the Trump administration would be able to meet all U.S. testing needs for May and June.


 
D.C. also has more than enough beds to treat the current number of coronavirus cases, the District’s data show.

It also appears to have an adequate number of beds to deal with an expected surge of cases with a phased reopening.

“We have been very confident about the number of beds at area hospitals that are part of our surge capacity,” Bowser declared.

“Without a surge, the District needs to have its healthcare capacity at less than 80 percent over seven days. The District’s current healthcare occupancy is at 76 percent and it has been under 80 percent for 14 days,” the Patch noted.

The cumulative number of cases and deaths in D.C. do continue to rise.

D.C. marked its highest single-day number of coronavirus cases on May 1 (335 cases) and its second-highest on May 8 (245), but the figures have steadily dropped since.

The District’s number of deaths per one million residents, at 476, is also higher than the national average of 252 per one million people, Worldometer reported.

Furthermore, the number of cases per one million residents in D.C., at 9,189, is more than double the national average of 4,256 cases per one million people.

The positive rate (over 20 percent) of the total number of tests that health officials have administered in D.C. is also higher than the national average of about 14 percent, according to the COVID Tracking Project.

However, more people are testing negative (24,565) than positive (6,485) in the nation’s capital.

To begin reopening, D.C. needs “fourteen days of consistent downward trend in coronavirus cases, hospitalizations and/or the percentage of tests that come back positive,” the local CBS-affiliated TV station WUSA9 reported.

“It’s the same criteria included in the White House’s ‘Opening Up America Again’ plan,” it added. “It’s based in part on the coronavirus’ up-to-14-day incubation period.”


 
Based on the criteria highlighted in the White House guidelines, the nation’s capital is not yet ready to reopen, particularly given the absence of a 14-day downward trend in cases.

As of Wednesday, coronavirus had infected 6,584 people and killed 350, according to data from the capital’s health department.",Breitbart
"Democrats Push ‘Devil’ Coronavirus Bill H.R. 6666, ‘Door-to-Door’ Contract Tracing",2020/05/12,https://www.breitbart.com/politics/2020/05/12/democrats-push-devil-coronavirus-bill-h-r-6666-door-to-door-contract-tracing/,"House Democrats are proposing H.R. 6666, a multi-billion dollar bill authorizing the Secretary of Health and Human Services to “award grants to eligible entities to conduct diagnostic testing for COVID–19, and related activities such as contact tracing, through mobile health units and, as necessary, at individuals’ residences.”

The COVID-19 Testing, Reaching, And Contacting Everyone (TRACE) Act — what some appropriately note is filed as H.R. 6666 — provides $100 billion in grants distributed by the Centers for Disease Control and Prevention (CDC) to “eligible entities” so they can “trace and monitor the contacts of infected individuals, and to support the quarantine of such contacts, through mobile health units and, as necessary, testing individuals and providing individuals with services related to testing and quarantine at their residences.”


According to the legislation, recipients of the grant can use the funds to “hire, train, compensate, and pay the expenses” of individuals to carry out the tasks related to testing and contact tracing.

Eligible entities include federally qualified health centers, school-based health clinics, academic medical centers, non-profits, institutions of higher education, and any other entity that the secretary deems eligible.

Rep. Bobby L. Rush (D-IL) formally introduced the bill this month, asserting that it will be “impossible” to reopen the economy and return to normal “if we do not step up our testing efforts and implement robust and widespread contact tracing.”

“Until we have a vaccine to defeat this dreaded disease, contact tracing in order to understand the full breadth and depth of the spread of this virus is the only way we will be able to get out from under this,” he said of the TRACE Act, attempting soften certain aspects of the bill by using the phrase “door-to-door outreach.”

Rush said:

The COVID-19 TRACE Act will allow us to do this by creating a $100 billion dollar grant program for local organizations to hire, train, and pay individuals and to purchase supplies to run mobile testing units and door-to-door outreach as is safe and necessary, with special preference being given to those operating in hot spots and medically underserved communities, as well as those entities who commit to hiring from these neighborhoods.

“I am immensely proud to see this bill receive bipartisan support and I hope to see the COVID-19 TRACE Act swiftly adopted by the House as a stand-alone bill or as part of a larger coronavirus response package,” he added:


Bobby L. Rush
✔
@RepBobbyRush
The @CDCgov says contact tracing, is a “core disease control measure” & “key strategy for preventing further spread of COVID-19.”

The COVID-19 TRACE Act would allow for mobile testing & door-to-door outreach to ensure we can SAFELY get back to normal. https://rush.house.gov/media-center/press-releases/rush-introduces-bipartisan-legislation-to-fund-100-billion-coronavirus …


Rush Introduces Bipartisan Legislation to Fund $100 Billion Coronavirus Testing and Contact Tracing...
WASHINGTON — Today, U.S. Representative Bobby L. Rush introduced H.R. 6666, the COVID-19 Testing, Reaching and Contacting Everyone (TRACE) Act. This bipartisan bill would establish a grant program...

rush.house.gov
16
6:34 AM - May 10, 2020
Twitter Ads info and privacy
198 people are talking about this

Bobby L. Rush
✔
@RepBobbyRush
Absolutely. My bill, the COVID-19 TRACE Act (H.R. 6666) would create a $100 BILLION grant program for local organizations to hire, train, and pay individuals to operate mobile testing units and conduct contact tracing in hot spots and medically underserved areas. https://twitter.com/EnergyCommerce/status/1257763108468260864 …

Energy and Commerce Committee
✔
@EnergyCommerce
Congress must develop a national program to track, identify and isolate all possible traces of #COVID19. This is critical to safely reopening America. https://www.vox.com/2020/5/4/21242825/coronavirus-covid-19-contact-tracing-jobs-apps …

322
5:25 AM - May 6, 2020
Twitter Ads info and privacy
2,603 people are talking about this
The Illinois Democrat said in the Q&A portion of his release that taking the tests “would be completely voluntary.” He also attempted to tamp down concerns of government overreach by stating in bold font that the bill “does not authorize anyone to enter your home, for whatever reason, without your permission, nor does it allow the government to remove anyone from your home because of the coronavirus.”

On Tuesday, Rush continued, contending that there is “nothing in this bill that will threaten anyone’s individual liberties”:


Bobby L. Rush
✔
@RepBobbyRush
Question: How can we ensure our liberties will be preserved? 

Answer: I have spent my entire life fighting for the liberty of my community & others. There is nothing in this bill that will threaten anyone's individual liberties. Again, this bill is about increasing testing. https://twitter.com/SantitaJ/status/1260178025397858306 …

Santita Jackson
@SantitaJ
TODAY Join @RepBobbyRush on #SantitaJacksonShow @WCPT820 @talk1017fmZ @talk927fm|M-F: 6-8aC/7-9aE|773.763.WCPT/9278|#FacebookLive: Santita Jackson and Friends|.@RevJJackson#TRACEAct HR6666: What Does the #Coronavirus Bill Propose?|http://Heavy.com  https://heavy.com/news/2020/05/hr-6666-trace-bill-bobby-rush/ …

View image on Twitter
125
9:38 PM - May 12, 2020
Twitter Ads info and privacy
161 people are talking about this
However, his proclamation has done little to ease the concerns of critics, who view the bill as a slippery slope.

“This is nothing but a massive government surveillance program cloaked in a cure-the-coronavirus label,” the Washington Times’ Cheryl K. Chumley warned, adding that the measure “does it deceptively so, under the guise of providing a societal good.”

H.R. 6666 has several co-sponsors, mostly Democrats, including Reps. Ro Khanna (D-CA), Rashida Tlaib (D-MI), Tim Ryan (D-OH), Tulsi Gabbard (D-HI), Frederica Wilson (D-FL), and Debbie Wasserman Schultz (D-FL).",Breitbart
